q,p,deg_p,class_count,U,E,largest_incomplete_degree,evidence_grade,source_record
3,T^4 + T^3 + T^2 + 2*T + 2,4,10,6,4,3,strict family audit,results/detailed/characteristics.csv
3,T^4 + T^3 + T^2 + T + 1,4,10,6,4,3,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^2 + T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^3 + 2*T^2 + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^3 + 2*T^2 + 2*T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^3 + 2*T^2 + T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^3 + T^2 + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^3 + T^2 + 2*T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^3 + T^2 + T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + 2*T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + 2*T^2 + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + 2*T^2 + 2*T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + 2*T^2 + T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + 2*T^3 + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + 2*T^3 + 2*T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + 2*T^3 + 2*T^2 + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + 2*T^3 + 2*T^2 + T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + 2*T^3 + T^2 + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + 2*T^3 + T^2 + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + T^3 + 2*T^2 + 2*T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + T^3 + T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + T^3 + T^2 + T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + 2*T^4 + T^3 + T^2 + T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^2 + T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^3 + 2*T^2 + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^3 + 2*T^2 + 2*T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^3 + T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^3 + T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^3 + T^2 + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^3 + T^2 + 2*T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + 2*T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + 2*T^3 + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + 2*T^3 + 2*T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + 2*T^3 + 2*T^2 + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + 2*T^3 + 2*T^2 + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + 2*T^3 + T^2 + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + 2*T^3 + T^2 + T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + T^2 + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + T^2 + 2*T + 2,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + T^2 + T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
3,T^5 + T^4 + T^3 + 2*T^2 + T + 1,5,31,10,8,7,strict family audit,results/detailed/characteristics.csv
