q,p,deg_p,class_count,U,E,levels_scanned,incomplete_levels,largest_incomplete_degree,vectors_visited,result_directory,result_file
2,T^7 + T^6 + 1,7,43,16,12,4719,158,11,488280059,results/q2_degree7_compact,p_T7_T6_1.compact.json
2,T^7 + T^6 + T^3 + T + 1,7,43,16,12,4719,151,11,479202412,results/q2_degree7_compact,p_T7_T6_T3_T_1.compact.json
2,T^7 + T^6 + T^4 + T + 1,7,43,16,14,4719,148,13,478509630,results/q2_degree7_compact,p_T7_T6_T4_T_1.compact.json
2,T^7 + T^6 + T^4 + T^2 + 1,7,43,16,12,4719,146,11,468263225,results/q2_degree7_compact,p_T7_T6_T4_T2_1.compact.json
2,T^7 + T^6 + T^5 + T^2 + 1,7,43,16,12,4719,148,11,473901599,results/q2_degree7_compact,p_T7_T6_T5_T2_1.compact.json
2,T^7 + T^6 + T^5 + T^3 + T^2 + T + 1,7,43,16,12,4719,156,11,476160964,results/q2_degree7_compact,p_T7_T6_T5_T3_T2_T_1.compact.json
2,T^7 + T^6 + T^5 + T^4 + 1,7,43,16,12,4719,153,11,508611410,results/q2_degree7_compact,p_T7_T6_T5_T4_1.compact.json
2,T^7 + T^6 + T^5 + T^4 + T^2 + T + 1,7,43,16,12,4719,133,11,474838647,results/q2_degree7_compact,p_T7_T6_T5_T4_T2_T_1.compact.json
2,T^7 + T^6 + T^5 + T^4 + T^3 + T^2 + 1,7,43,16,12,4719,154,11,482985984,results/q2_degree7_compact,p_T7_T6_T5_T4_T3_T2_1.compact.json
3,T,1,1,1,1,0,0,,0,results/q3,p_T.json
3,T + 1,1,1,1,1,0,0,,0,results/q3,p_T_1.json
3,T + 2,1,1,1,1,0,0,,0,results/q3,p_T_2.json
3,T^2 + 1,2,1,1,1,0,0,,0,results/q3,p_T2_1.json
3,T^2 + 2*T + 2,2,1,1,1,0,0,,0,results/q3,p_T2_2_T_2.json
3,T^2 + T + 2,2,1,1,1,0,0,,0,results/q3,p_T2_T_2.json
3,T^3 + 2*T + 1,3,4,6,4,79,9,3,944768,results/q3,p_T3_2_T_1.json
3,T^3 + 2*T + 2,3,4,6,4,79,9,3,944768,results/q3,p_T3_2_T_2.json
3,T^3 + 2*T^2 + 1,3,4,6,4,79,13,3,944768,results/q3,p_T3_2_T2_1.json
3,T^3 + 2*T^2 + 2*T + 2,3,4,6,4,79,13,3,944768,results/q3,p_T3_2_T2_2_T_2.json
3,T^3 + 2*T^2 + T + 1,3,4,6,4,79,13,3,944768,results/q3,p_T3_2_T2_T_1.json
3,T^3 + T^2 + 2,3,4,6,4,79,13,3,944768,results/q3,p_T3_T2_2.json
3,T^3 + T^2 + 2*T + 1,3,4,6,4,79,13,3,944768,results/q3,p_T3_T2_2_T_1.json
3,T^3 + T^2 + T + 2,3,4,6,4,79,13,3,944768,results/q3,p_T3_T2_T_2.json
3,T^4 + 2*T + 2,4,10,6,5,79,15,4,1968200,results/q3,p_T4_2_T_2.json
3,T^4 + 2*T^2 + 2,4,10,6,4,79,14,3,1968200,results/q3,p_T4_2_T2_2.json
3,T^4 + 2*T^3 + 2,4,10,6,5,79,15,4,1968200,results/q3,p_T4_2_T3_2.json
3,T^4 + 2*T^3 + 2*T^2 + T + 2,4,10,6,4,79,14,3,1968200,results/q3,p_T4_2_T3_2_T2_T_2.json
3,T^4 + 2*T^3 + T + 1,4,10,6,5,79,15,4,1968200,results/q3,p_T4_2_T3_T_1.json
3,T^4 + 2*T^3 + T^2 + 1,4,10,6,5,79,14,4,1968200,results/q3,p_T4_2_T3_T2_1.json
3,T^4 + 2*T^3 + T^2 + 2*T + 1,4,10,6,4,79,10,3,1968200,results/q3,p_T4_2_T3_T2_2_T_1.json
3,T^4 + 2*T^3 + T^2 + T + 2,4,10,6,4,79,10,3,1968200,results/q3,p_T4_2_T3_T2_T_2.json
3,T^4 + T + 2,4,10,6,5,79,15,4,1968200,results/q3,p_T4_T_2.json
3,T^4 + T^2 + 2,4,10,6,5,79,14,4,1968200,results/q3,p_T4_T2_2.json
3,T^4 + T^2 + 2*T + 1,4,10,6,4,79,10,3,1968200,results/q3,p_T4_T2_2_T_1.json
3,T^4 + T^2 + T + 1,4,10,6,4,79,10,3,1968200,results/q3,p_T4_T2_T_1.json
3,T^4 + T^3 + 2,4,10,6,5,79,15,4,1968200,results/q3,p_T4_T3_2.json
3,T^4 + T^3 + 2*T + 1,4,10,6,5,79,15,4,1968200,results/q3,p_T4_T3_2_T_1.json
3,T^4 + T^3 + 2*T^2 + 2*T + 2,4,10,6,4,79,14,3,1968200,results/q3,p_T4_T3_2_T2_2_T_2.json
3,T^4 + T^3 + T^2 + 1,4,10,6,5,79,14,4,1968200,results/q3,p_T4_T3_T2_1.json
3,T^4 + T^3 + T^2 + 2*T + 2,4,10,6,4,79,10,3,1968200,results/q3,p_T4_T3_T2_2_T_2.json
3,T^4 + T^3 + T^2 + T + 1,4,10,6,4,79,10,3,1968200,results/q3,p_T4_T3_T2_T_1.json
3,T^5 + 2*T + 1,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_2_T_1.json
3,T^5 + 2*T + 2,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_2_T_2.json
3,T^5 + 2*T^2 + T + 1,5,31,10,8,3501,147,7,808320800,results/q3_degree5,p_T5_2_T2_T_1.json
3,T^5 + 2*T^3 + 2*T^2 + 2,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_2_T3_2_T2_2.json
3,T^5 + 2*T^3 + 2*T^2 + 2*T + 1,5,31,10,8,3501,134,7,808320800,results/q3_degree5,p_T5_2_T3_2_T2_2_T_1.json
3,T^5 + 2*T^3 + 2*T^2 + T + 1,5,31,10,8,3501,154,7,808320800,results/q3_degree5,p_T5_2_T3_2_T2_T_1.json
3,T^5 + 2*T^3 + T^2 + 1,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_2_T3_T2_1.json
3,T^5 + 2*T^3 + T^2 + 2*T + 2,5,31,10,8,3501,134,7,808320800,results/q3_degree5,p_T5_2_T3_T2_2_T_2.json
3,T^5 + 2*T^3 + T^2 + T + 2,5,31,10,8,3501,154,7,808320800,results/q3_degree5,p_T5_2_T3_T2_T_2.json
3,T^5 + 2*T^4 + 1,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_2_T4_1.json
3,T^5 + 2*T^4 + 2*T + 2,5,31,10,8,3501,134,7,808320800,results/q3_degree5,p_T5_2_T4_2_T_2.json
3,T^5 + 2*T^4 + 2*T^2 + 2,5,31,10,8,3501,134,7,808320800,results/q3_degree5,p_T5_2_T4_2_T2_2.json
3,T^5 + 2*T^4 + 2*T^2 + 2*T + 1,5,31,10,8,3501,154,7,808320800,results/q3_degree5,p_T5_2_T4_2_T2_2_T_1.json
3,T^5 + 2*T^4 + 2*T^2 + T + 2,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_2_T4_2_T2_T_2.json
3,T^5 + 2*T^4 + 2*T^3 + 2,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_2_T4_2_T3_2.json
3,T^5 + 2*T^4 + 2*T^3 + 2*T + 1,5,31,10,8,3501,143,7,808320800,results/q3_degree5,p_T5_2_T4_2_T3_2_T_1.json
3,T^5 + 2*T^4 + 2*T^3 + 2*T^2 + 1,5,31,10,8,3501,143,7,808320800,results/q3_degree5,p_T5_2_T4_2_T3_2_T2_1.json
3,T^5 + 2*T^4 + 2*T^3 + 2*T^2 + T + 2,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_2_T4_2_T3_2_T2_T_2.json
3,T^5 + 2*T^4 + 2*T^3 + T^2 + 1,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_2_T4_2_T3_T2_1.json
3,T^5 + 2*T^4 + 2*T^3 + T^2 + 2,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_2_T4_2_T3_T2_2.json
3,T^5 + 2*T^4 + T + 1,5,31,10,8,3501,154,7,808320800,results/q3_degree5,p_T5_2_T4_T_1.json
3,T^5 + 2*T^4 + T^3 + 2*T^2 + 2*T + 2,5,31,10,8,3501,147,7,808320800,results/q3_degree5,p_T5_2_T4_T3_2_T2_2_T_2.json
3,T^5 + 2*T^4 + T^3 + T + 2,5,31,10,8,3501,147,7,808320800,results/q3_degree5,p_T5_2_T4_T3_T_2.json
3,T^5 + 2*T^4 + T^3 + T^2 + T + 1,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_2_T4_T3_T2_T_1.json
3,T^5 + 2*T^4 + T^3 + T^2 + T + 2,5,31,10,8,3501,151,7,808320800,results/q3_degree5,p_T5_2_T4_T3_T2_T_2.json
